Jon Allen,ylixir,,FALSE,Fargo/ ND,united states
Andrew Nester,andrewnester,http://linkedin.com/in/andrewnesterdev/,FALSE,Netherlands/ Amsterdam,netherlands
hassan,7snovic,https://twitter.com/7snovic,FALSE,Egypt,egypt
Remi Collet,remicollet,https://blog.remirepo.net/,FALSE,France/ Champagne,france
Deleted user,ghost,,FALSE,Nothing to see here/ move along.,Undefined
David Zülke,dzuelke,,FALSE,Munich/ Germany,germany
Sammy Kaye Powers,SammyK,sammyk.me,TRUE,Probably in a coffee shop right now,Undefined
Markus Staab,staabm,https://twitter.com/markusstaab,TRUE,Germany,germany
Florian Engelhardt,flow-control,https://dotbox.org,TRUE,Reutlingen/ Germany,Undefined
Remi Collet,remicollet,https://blog.remirepo.net/,FALSE,France/ Champagne,france
Dylan K. Taylor,dktapps,https://pmmp.io,FALSE,United Kingdom,united kingdom
蝦米,jhdxr,,FALSE,Singapore,singapore
Michael Paul,michaelpaul,http://michaelpaul.com.br,FALSE,Brazil/ Curitiba - PR,brazil
Christoph M. Becker,cmb69,,FALSE,,blank field
Christoph M. Becker,cmb69,,TRUE,,blank field
Michael Paul,michaelpaul,http://michaelpaul.com.br,FALSE,Brazil/ Curitiba - PR,brazil
Christoph M. Becker,cmb69,,FALSE,,blank field
Christoph M. Becker,cmb69,,TRUE,,blank field
Tom Van Looy,tvlooy,twitter.com/tvlooy,FALSE,Belgium/ Beerse,belgium
Christoph M. Becker,cmb69,,FALSE,,blank field
Christoph M. Becker,cmb69,,TRUE,,blank field
Jansen Price,sumpygump,http://jansenprice.com,FALSE,Minneapolis/ MN,united states
Bouke van der Bijl,bouk,https://bou.ke,FALSE,,blank field
Tom Van Looy,tvlooy,twitter.com/tvlooy,FALSE,Belgium/ Beerse,belgium
BohwaZ,bohwaz,http://bohwaz.net/,FALSE,Auckland,new zealand
吕海涛,lvht,,FALSE,上海,Undefined
Sammy Kaye Powers,SammyK,sammyk.me,FALSE,Probably in a coffee shop right now,Undefined
Sammy Kaye Powers,SammyK,sammyk.me,FALSE,Probably in a coffee shop right now,Undefined
Sammy Kaye Powers,SammyK,sammyk.me,FALSE,Probably in a coffee shop right now,Undefined
Sammy Kaye Powers,SammyK,sammyk.me,FALSE,Probably in a coffee shop right now,Undefined
Sammy Kaye Powers,SammyK,sammyk.me,FALSE,Probably in a coffee shop right now,Undefined
Sammy Kaye Powers,SammyK,sammyk.me,FALSE,Probably in a coffee shop right now,Undefined
Philip Prindeville,pprindeville,https://www.linkedin.com/in/philipprindeville,FALSE,Boise/ ID,united states
Dylan K. Taylor,dktapps,https://pmmp.io,FALSE,United Kingdom,united kingdom
Dylan K. Taylor,dktapps,https://pmmp.io,FALSE,United Kingdom,united kingdom
吕海涛,lvht,,FALSE,上海,Undefined
NOMAD,motecshine,https://motecshine.github.io,FALSE,西安,Undefined
Ken Guest,kenguest,http://about.me/kenguest,FALSE,Nenagh/ Ireland,ireland
,krageon,,FALSE,,blank field
Ken Guest,kenguest,http://about.me/kenguest,FALSE,Nenagh/ Ireland,ireland
David CARLIER,devnexen,https://devnexen.blogspot.com,FALSE,,blank field
Eduardo G,eduardogonrod,,FALSE,,blank field
Joao Paulo V Martins,jpjoao,,FALSE,Dublin/ Ireland,ireland
Joao Paulo V Martins,jpjoao,,FALSE,Dublin/ Ireland,ireland
Mainstream d.o.o.,mnspodrska,http://www.mainstream.rs,FALSE,Belgrade/ Serbia,serbia
Matt Piskorz,scrx,,FALSE,Ireland/ Bray,ireland
Mark Railton,railto,http://markrailton.com,FALSE,Dublin/ Ireland,ireland
Ricardo Melo,rjsmelo,,TRUE,Dublin,ireland
Jakub Zelenka,bukka,http://bukka.eu,FALSE,London/ United Kingdom,united kingdom
tbpgr,tbpgr,http://tbpgr.hatenablog.com/,TRUE,Japan,japan
Remi Collet,remicollet,https://blog.remirepo.net/,FALSE,France/ Champagne,france
David CARLIER,devnexen,https://devnexen.blogspot.com,FALSE,,blank field
Thomas Punt,tpunt,https://phpinternals.net,FALSE,London/ United Kingdom,united kingdom
Sammy Kaye Powers,SammyK,sammyk.me,FALSE,Probably in a coffee shop right now,Undefined
Fabien Potencier,fabpot,http://fabien.potencier.org/,FALSE,Lille,france
Philip Prindeville,pprindeville,https://www.linkedin.com/in/philipprindeville,FALSE,Boise/ ID,united states
Thomas Punt,tpunt,https://phpinternals.net,FALSE,London/ United Kingdom,united kingdom
,SjonHortensius,,FALSE,,blank field
BohwaZ,bohwaz,http://bohwaz.net/,FALSE,Auckland,new zealand
Lior Kaplan,kaplanlior,,FALSE,,blank field
Andreas Treichel,blar,http://www.blar.de/,TRUE,Germany,germany
Remi Collet,remicollet,https://blog.remirepo.net/,FALSE,France/ Champagne,france
Andreas Treichel,blar,http://www.blar.de/,FALSE,Germany,germany
Sammy Kaye Powers,SammyK,sammyk.me,FALSE,Probably in a coffee shop right now,Undefined
Sammy Kaye Powers,SammyK,sammyk.me,FALSE,Probably in a coffee shop right now,Undefined
Andreas Treichel,blar,http://www.blar.de/,FALSE,Germany,germany
Philip Prindeville,pprindeville,https://www.linkedin.com/in/philipprindeville,FALSE,Boise/ ID,united states
Tyson Andre,TysonAndre,,FALSE,,blank field
Thomas Punt,tpunt,https://phpinternals.net,FALSE,London/ United Kingdom,united kingdom
蝦米,jhdxr,,FALSE,Singapore,singapore
蝦米,jhdxr,,FALSE,Singapore,singapore
蝦米,jhdxr,,FALSE,Singapore,singapore
jelle van der Waa,jelly,https://vdwaa.nl,FALSE,NL,Undefined
jelle van der Waa,jelly,https://vdwaa.nl,FALSE,NL,Undefined
jelle van der Waa,jelly,https://vdwaa.nl,FALSE,NL,Undefined
Patrick Allaert,patrickallaert,http://patrickallaert.blogspot.com/,FALSE,Brussels,belgium
Philip Prindeville,pprindeville,https://www.linkedin.com/in/philipprindeville,FALSE,Boise/ ID,united states
John Boehr,jbboehr,https://github.com/jbboehr,FALSE,Pasadena/ CA/ USA,united states
Adam,adsr,,FALSE,New York/ NY,united states
Adam,adsr,,FALSE,New York/ NY,united states
Christoph M. Becker,cmb69,,TRUE,,blank field
Barry O Sullivan,barryosull,,FALSE,,blank field
clwu,clwu88,http://blog.csdn.net/joshua2011,FALSE,,blank field
,zsalab,,FALSE,Amsterdam. NL,Undefined
吕海涛,lvht,,FALSE,上海,Undefined
Andreas Treichel,blar,http://www.blar.de/,TRUE,Germany,germany
Andrea,hikari-no-yume,https://hikari.noyu.me/,FALSE,Lund/ Sverige,Undefined
Zeeshan Ahmad,ziishaned,https://twitter.com/ziishaned,TRUE,Dubai,united arab emirates
Ilya Shipitsin,chipitsine,,FALSE,,blank field
Fabien Villepinte,villfa,,FALSE,Bordeaux/ France,france
Fabien Villepinte,villfa,,FALSE,Bordeaux/ France,france
Xinchen Hui,laruence,http://www.laruence.com,TRUE,Beijing/ China,china
Benjamin W. Broersma,bwbroersma,https://www.broersma.com/,FALSE,Delft/ NL,Undefined
Rodrigo Prado,royopa,http://about.me/royopa,FALSE,São Paulo - Brazil,Undefined
Sammy Kaye Powers,SammyK,sammyk.me,FALSE,Probably in a coffee shop right now,Undefined
Juliette,jrfnl,http://adviesenzo.nl/,FALSE,Amsterdam/ The Netherlands,netherlands
Andrew Nester,andrewnester,http://linkedin.com/in/andrewnesterdev/,FALSE,Netherlands/ Amsterdam,netherlands
Peter Kokot,petk,https://petk.github.io,FALSE,Area 51,Undefined
Issei.M,issei-m,https://issei-m.com,FALSE,Saitama/ Saitama/ Japan,japan
Pedro Magalhães,pmmaga,,FALSE,Sintra/ Portugal,Undefined
Andreas Treichel,blar,http://www.blar.de/,FALSE,Germany,germany
LuDaShi,immpo,http://restone.xyz,FALSE,Shanghai,china
jelle van der Waa,jelly,https://vdwaa.nl,FALSE,NL,Undefined
Peter Kokot,petk,https://petk.github.io,FALSE,Area 51,Undefined
Andreas Treichel,blar,http://www.blar.de/,FALSE,Germany,germany
Florian Margaine,ralt,http://margaine.com,FALSE,Orange/ France,australia
MCMic,MCMic,http://mcmic.haxx.es,TRUE,,blank field
,SpacePossum,,FALSE,,blank field
Sergei Morozov,morozov,http://morozov.livejournal.com/,FALSE,San Jose/ CA,philippines
Dmitry Stogov,dstogov,,TRUE,Russia,russia
Sergei Morozov,morozov,http://morozov.livejournal.com/,FALSE,San Jose/ CA,philippines
yaoguai,yaoguais,,FALSE,Bei Jing,Undefined
Andrew Nester,andrewnester,http://linkedin.com/in/andrewnesterdev/,FALSE,Netherlands/ Amsterdam,netherlands
Ródgger,rodggerbr,,FALSE,,blank field
Carsten Brandt,cebe,http://cebe.cc/,FALSE,Berlin / Alfeld/ Germany,Undefined
Jakub Zelenka,bukka,http://bukka.eu,FALSE,London/ United Kingdom,united kingdom
Dmitry Stogov,dstogov,,FALSE,Russia,russia
Frank Denis,jedisct1,,TRUE,Paris/ France,france
Peter Kokot,petk,https://petk.github.io,FALSE,Area 51,Undefined
Peter Kokot,petk,https://petk.github.io,FALSE,Area 51,Undefined
Peter Kokot,petk,https://petk.github.io,FALSE,Area 51,Undefined
Frank Denis,jedisct1,,FALSE,Paris/ France,france
Andrew Nester,andrewnester,http://linkedin.com/in/andrewnesterdev/,FALSE,Netherlands/ Amsterdam,netherlands
Frank Denis,jedisct1,,FALSE,Paris/ France,france
Dmitry Stogov,dstogov,,FALSE,Russia,russia
Andreas Treichel,blar,http://www.blar.de/,FALSE,Germany,germany
Pedro Magalhães,pmmaga,,FALSE,Sintra/ Portugal,Undefined
蝦米,jhdxr,,FALSE,Singapore,singapore
Andreas Treichel,blar,http://www.blar.de/,FALSE,Germany,germany
Andreas Treichel,blar,http://www.blar.de/,FALSE,Germany,germany
Andreas Treichel,blar,http://www.blar.de/,FALSE,Germany,germany
Frederik Bosch,frederikbosch,https://www.genkgo.com/,FALSE,Amsterdam/ The Netherlands,netherlands
Francois Laupretre,flaupretre,http://www.tekwire.net,FALSE,Paris - France,Undefined
Tyson Andre,TysonAndre,,FALSE,,blank field
S. Zachariah Sprackett,zsprackett,http://zac.sprackett.com,FALSE,Ottawa :: Canada,Undefined
ZiMuyang,zimuyang,,FALSE,,blank field
MCMic,MCMic,http://mcmic.haxx.es,TRUE,,blank field
Rudi Theunissen,rtheunissen,,FALSE,San Diego,united states
Jakub Zelenka,bukka,http://bukka.eu,FALSE,London/ United Kingdom,united kingdom
,Aardvark8,,FALSE,,blank field
,Aardvark8,,FALSE,,blank field
Egor Petrov,Sentoki,hayate.ru,FALSE,Barnaul,russia
Tyson Andre,TysonAndre,,TRUE,,blank field
,windrainw,,FALSE,,blank field
John Comeau,jcomeauictx,jc.unternet.net,FALSE,Petaluma/ CA or Columbus/ NM/ or elsewhere/ usually on Terra,united states
,vishnupandey,,FALSE,,blank field
Tom Van Looy,tvlooy,twitter.com/tvlooy,FALSE,Belgium/ Beerse,belgium
Tom Van Looy,tvlooy,twitter.com/tvlooy,FALSE,Belgium/ Beerse,belgium
Marat Nagayev,nagayev2002,nagayev.ru/,FALSE,Russia,russia
,danchukas,,FALSE,,blank field
Niklas Keller,kelunik,https://blog.kelunik.com,FALSE,Germany,germany
Dmitry Stogov,dstogov,,TRUE,Russia,russia
Thomas Punt,tpunt,https://phpinternals.net,FALSE,London/ United Kingdom,united kingdom
Andrea,hikari-no-yume,https://hikari.noyu.me/,FALSE,Lund/ Sverige,Undefined
Shang Yuanchun,ideal,https://ideal.github.io,FALSE,Hangzhou/ China,china
蝦米,jhdxr,,FALSE,Singapore,singapore
Tyson Andre,TysonAndre,,FALSE,,blank field
Rodrigo Prado,royopa,http://about.me/royopa,FALSE,São Paulo - Brazil,Undefined
chance garcia,chancegarcia,http://phpprotip.com,FALSE,Bloomington/ IN,united states
chance garcia,chancegarcia,http://phpprotip.com,FALSE,Bloomington/ IN,united states
Charles R. Portwood II,charlesportwoodii,https://www.erianna.com,FALSE,,blank field
Niklas Keller,kelunik,https://blog.kelunik.com,FALSE,Germany,germany
Sergey,wapmorgan,,FALSE,Moscow/ Russia Federation,russia
Mitch Hagstrand,mhagstrand,,FALSE,Austin TX,Undefined
Edwin Hoksberg,EdwinHoksberg,https://edwinhoksberg.nl,FALSE,The Netherlands,Undefined
Remi Collet,remicollet,https://blog.remirepo.net/,FALSE,France/ Champagne,france
Peter Kokot,petk,https://petk.github.io,FALSE,Area 51,Undefined
ZiMuyang,zimuyang,,FALSE,,blank field
Michael Moravec,Majkl578,https://majkl.me,FALSE,Prague/ Czech Republic,czechia
bolzen/ditchi,LinuzLuzas,http://www.omskrew.de,FALSE,germany,Undefined
bolzen/ditchi,LinuzLuzas,http://www.omskrew.de,FALSE,germany,Undefined
bolzen/ditchi,LinuzLuzas,http://www.omskrew.de,FALSE,germany,Undefined
Manuel Mausz,manuelm,https://manuel.mausz.at/,TRUE,Vienna/ Austria,austria
jelle van der Waa,jelly,https://vdwaa.nl,FALSE,NL,Undefined
Tyson Andre,TysonAndre,,FALSE,,blank field
Tyson Andre,TysonAndre,,FALSE,,blank field
Tyson Andre,TysonAndre,,FALSE,,blank field
Richard Fussenegger,Fleshgrinder,http://richard.fussenegger.info/,FALSE,Germany,germany
Christoph M. Becker,cmb69,,FALSE,,blank field
jelle van der Waa,jelly,https://vdwaa.nl,FALSE,NL,Undefined
jelle van der Waa,jelly,https://vdwaa.nl,FALSE,NL,Undefined
Scott,paragonie-scott,https://paragonie.com,FALSE,Orlando/ FL,united states
Andrew Nester,andrewnester,http://linkedin.com/in/andrewnesterdev/,FALSE,Netherlands/ Amsterdam,netherlands
jelle van der Waa,jelly,https://vdwaa.nl,FALSE,NL,Undefined
Richard Fussenegger,Fleshgrinder,http://richard.fussenegger.info/,FALSE,Germany,germany
Jakub Zelenka,bukka,http://bukka.eu,FALSE,London/ United Kingdom,united kingdom
cai,keller0,,FALSE,北京 Beijing,Undefined
Richard Fussenegger,Fleshgrinder,http://richard.fussenegger.info/,FALSE,Germany,germany
Richard Fussenegger,Fleshgrinder,http://richard.fussenegger.info/,FALSE,Germany,germany
Richard Fussenegger,Fleshgrinder,http://richard.fussenegger.info/,FALSE,Germany,germany
Nikita Popov,nikic,http://nikic.github.com/,FALSE,Berlin/ Germany,germany
Jesper Hagström,jesperhag,,FALSE,Sweden,sweden
jelle van der Waa,jelly,https://vdwaa.nl,FALSE,NL,Undefined
Richard Fussenegger,Fleshgrinder,http://richard.fussenegger.info/,FALSE,Germany,germany
Richard Fussenegger,Fleshgrinder,http://richard.fussenegger.info/,FALSE,Germany,germany
E.Law,libnex,https://twitter.com/libNex,FALSE,,blank field
Niklas Keller,kelunik,https://blog.kelunik.com,FALSE,Germany,germany
,ttoohey,,FALSE,,blank field
Gemma Lynn,ellotheth,http://ramblinations.com,FALSE,,blank field
Andrew Nester,andrewnester,http://linkedin.com/in/andrewnesterdev/,FALSE,Netherlands/ Amsterdam,netherlands
Shaikhul Islam,shaikhul,shaikhul.wordpress.com,FALSE,Atlanta/ GA,united states
Sean Fraser,frasmage,sfraser.ca,FALSE,Montreal/ Canada,canada
Michael Moussa,michaelmoussa,https://michaelmoussa.net,FALSE,,blank field
Michael Moussa,michaelmoussa,https://michaelmoussa.net,FALSE,,blank field
Markus Staab,staabm,https://twitter.com/markusstaab,FALSE,Germany,germany
David Caldwell,caldwell,http://porkrind.org,TRUE,,blank field
Richard Fussenegger,Fleshgrinder,http://richard.fussenegger.info/,FALSE,Germany,germany
Ingmar Runge,KiNgMaR,,FALSE,Europe,Undefined
jelle van der Waa,jelly,https://vdwaa.nl,FALSE,NL,Undefined
Ingmar Runge,KiNgMaR,,FALSE,Europe,Undefined
Pedro Magalhães,pmmaga,,FALSE,Sintra/ Portugal,Undefined
Pedro Magalhães,pmmaga,,FALSE,Sintra/ Portugal,Undefined
Andrea,hikari-no-yume,https://hikari.noyu.me/,FALSE,Lund/ Sverige,Undefined
BohwaZ,bohwaz,http://bohwaz.net/,TRUE,Auckland,new zealand
NOMAD,motecshine,https://motecshine.github.io,FALSE,西安,Undefined
Nicolas Grekas,nicolas-grekas,https://twitter.com/nicolasgrekas,FALSE,Paris/ France,france
Mark Schmale,themasch,https://masch.it,FALSE,Dortmund/ Germany,germany
Andrew Nester,andrewnester,http://linkedin.com/in/andrewnesterdev/,TRUE,Netherlands/ Amsterdam,netherlands
Richard Fussenegger,Fleshgrinder,http://richard.fussenegger.info/,FALSE,Germany,germany
Dorin Marcoci,madorin,http://www.marcodor.com,FALSE,Moldova,moldova
jelle van der Waa,jelly,https://vdwaa.nl,FALSE,NL,Undefined
Markus Staab,staabm,https://twitter.com/markusstaab,FALSE,Germany,germany
Fabien Villepinte,villfa,,FALSE,Bordeaux/ France,france
Niklas Keller,kelunik,https://blog.kelunik.com,FALSE,Germany,germany
Fabien Villepinte,villfa,,TRUE,Bordeaux/ France,france
Andrew Marcinkevičius,ifdattic,http://www.ifdattic.com,TRUE,Lithuania,lithuania
Sara Golemon,sgolemon,http://twitter.com/SaraMG,FALSE,NYC,united states
Ekin,ekinhbayar,http://journal.of.ekins.space,FALSE,,blank field
Fabien Villepinte,villfa,,FALSE,Bordeaux/ France,france
,swalk-cavium,,FALSE,,blank field
,swalk-cavium,,FALSE,,blank field
Andrew Nester,andrewnester,http://linkedin.com/in/andrewnesterdev/,FALSE,Netherlands/ Amsterdam,netherlands
Craig Duncan,duncan3dc,https://www.patreon.com/duncan3dc,FALSE,Manchester/ UK,united kingdom
Dmitry Stogov,dstogov,,TRUE,Russia,russia
Andrew Nester,andrewnester,http://linkedin.com/in/andrewnesterdev/,FALSE,Netherlands/ Amsterdam,netherlands
Anatoly Pashin,b1rdex,,FALSE,Vladivostok/ Russia,russia
Nikita Popov,nikic,http://nikic.github.com/,FALSE,Berlin/ Germany,germany
Andrew Nester,andrewnester,http://linkedin.com/in/andrewnesterdev/,FALSE,Netherlands/ Amsterdam,netherlands
Andrew Nester,andrewnester,http://linkedin.com/in/andrewnesterdev/,FALSE,Netherlands/ Amsterdam,netherlands
蝦米,jhdxr,,FALSE,Singapore,singapore
Jakub Zelenka,bukka,http://bukka.eu,FALSE,London/ United Kingdom,united kingdom
,uziomg,,FALSE,,blank field
cai,keller0,,FALSE,北京 Beijing,Undefined
Sara Golemon,sgolemon,http://twitter.com/SaraMG,FALSE,NYC,united states
Pedro Magalhães,pmmaga,,FALSE,Sintra/ Portugal,Undefined
Christian Weiske,cweiske,http://cweiske.de/,FALSE,Leipzig/ Germany,germany
Fabien Villepinte,villfa,,FALSE,Bordeaux/ France,france
Nikita Popov,nikic,http://nikic.github.com/,FALSE,Berlin/ Germany,germany
Sammy Kaye Powers,SammyK,sammyk.me,FALSE,Probably in a coffee shop right now,Undefined
蝦米,jhdxr,,FALSE,Singapore,singapore
,swalk-cavium,,FALSE,,blank field
Fabien Villepinte,villfa,,FALSE,Bordeaux/ France,france
Alexander Ilyin,alexanderilyin,http://alexander.ilyin.eu/,FALSE,Redwood City/ California,united states
Michael Heimpold,mhei,,FALSE,Leipzig/ Germany,germany
Michael Moravec,Majkl578,https://majkl.me,FALSE,Prague/ Czech Republic,czechia
Michael Moravec,Majkl578,https://majkl.me,FALSE,Prague/ Czech Republic,czechia
Fabien Villepinte,villfa,,FALSE,Bordeaux/ France,france
David Matějka,matej21,http://www.matej21.cz,FALSE,Prague/ Czech Republic,czechia
Aleš Rebec,alesrebec,,FALSE,,blank field
Ekin,ekinhbayar,http://journal.of.ekins.space,FALSE,,blank field
Ekin,ekinhbayar,http://journal.of.ekins.space,FALSE,,blank field
Fabien Villepinte,villfa,,FALSE,Bordeaux/ France,france
郭新华,GXhua,http://weibo.com/u/2661945152/,FALSE,china beijing,Undefined
Anton Serbulov,skvoboo,,FALSE,,blank field
Michael Heimpold,mhei,,FALSE,Leipzig/ Germany,germany
Fabien Villepinte,villfa,,FALSE,Bordeaux/ France,france
Plenty Su,supl,,FALSE,,blank field
Fabien Villepinte,villfa,,FALSE,Bordeaux/ France,france
Markus Staab,staabm,https://twitter.com/markusstaab,FALSE,Germany,germany
Pedro Magalhães,pmmaga,,FALSE,Sintra/ Portugal,Undefined
Sammy Kaye Powers,SammyK,sammyk.me,FALSE,Probably in a coffee shop right now,Undefined
Антон Тихомиров,acuna-personal,http://ointeractive.ru,FALSE,,blank field
Антон Тихомиров,acuna-personal,http://ointeractive.ru,FALSE,,blank field
Mitch Hagstrand,mhagstrand,,FALSE,Austin TX,Undefined
Mitch Hagstrand,mhagstrand,,FALSE,Austin TX,Undefined
David CARLIER,devnexen,https://devnexen.blogspot.com,FALSE,,blank field
David CARLIER,devnexen,https://devnexen.blogspot.com,FALSE,,blank field
Mitch Hagstrand,mhagstrand,,FALSE,Austin TX,Undefined
Micha,KoenigsKind,http://str4u.ch,FALSE,Germany,germany
Jakub Zelenka,bukka,http://bukka.eu,TRUE,London/ United Kingdom,united kingdom
Stephan Muggli,smuggli,,FALSE,Munich,germany
Edgar R. Sandi,edgarsandi,http://edgarsandi.github.io/,FALSE,Sao Paulo/ Brazil,brazil
Szopen Xiao,chopins,http://toknot.com,FALSE,Xingyi China,Undefined
Yussuf Khalil,pp3345,,TRUE,Karlsruhe/ Germany,germany
Christian Schneider,chschneider,,FALSE,,blank field
Craig Duncan,duncan3dc,https://www.patreon.com/duncan3dc,FALSE,Manchester/ UK,united kingdom
Thomas Punt,tpunt,https://phpinternals.net,FALSE,London/ United Kingdom,united kingdom
Craig Duncan,duncan3dc,https://www.patreon.com/duncan3dc,FALSE,Manchester/ UK,united kingdom
Craig Duncan,duncan3dc,https://www.patreon.com/duncan3dc,FALSE,Manchester/ UK,united kingdom
Martin Hujer,mhujer,https://www.martinhujer.cz/,FALSE,Czech Republic,Undefined
Vivek Dinesh,butane,,FALSE,India,india
Andrew Nester,andrewnester,http://linkedin.com/in/andrewnesterdev/,FALSE,Netherlands/ Amsterdam,netherlands
Robert Mariano Schwindaman,schwindy,https://cryptolytics.com,FALSE,,blank field
Moritz Fain,maurice2k,,FALSE,Munich/ Germany,germany
Remi Collet,remicollet,https://blog.remirepo.net/,FALSE,France/ Champagne,france
Sammy Kaye Powers,SammyK,sammyk.me,FALSE,Probably in a coffee shop right now,Undefined
Markus Staab,staabm,https://twitter.com/markusstaab,FALSE,Germany,germany
Pavel Rochnyak,rpv-tomsk,,FALSE,Russia/ Tomsk,russia
Ben Scholzen,DASPRiD,https://dasprids.de,FALSE,Germany/ Karlsruhe,germany
Jakub Zelenka,bukka,http://bukka.eu,FALSE,London/ United Kingdom,united kingdom
Edgar R. Sandi,edgarsandi,http://edgarsandi.github.io/,FALSE,Sao Paulo/ Brazil,brazil
Thomas Punt,tpunt,https://phpinternals.net,FALSE,London/ United Kingdom,united kingdom
Vivek Dinesh,butane,,FALSE,India,india
David CARLIER,devnexen,https://devnexen.blogspot.com,FALSE,,blank field
Andrew Nester,andrewnester,http://linkedin.com/in/andrewnesterdev/,FALSE,Netherlands/ Amsterdam,netherlands
Nikita Popov,nikic,http://nikic.github.com/,FALSE,Berlin/ Germany,germany
Nikita Popov,nikic,http://nikic.github.com/,FALSE,Berlin/ Germany,germany
,xKerman,,FALSE,Japan,japan
Adam Baratz,adambaratz,http://www.adambaratz.com,FALSE,,blank field
Nikita Popov,nikic,http://nikic.github.com/,FALSE,Berlin/ Germany,germany
Thomas Punt,tpunt,https://phpinternals.net,FALSE,London/ United Kingdom,united kingdom
Nikita Popov,nikic,http://nikic.github.com/,FALSE,Berlin/ Germany,germany
Thomas Punt,tpunt,https://phpinternals.net,FALSE,London/ United Kingdom,united kingdom
Thomas Punt,tpunt,https://phpinternals.net,FALSE,London/ United Kingdom,united kingdom
Dariusz Rumiński,keradus,https://www.patreon.com/keradus,FALSE,Szczecin/ Poland,poland
,adrian5,,FALSE,,blank field
Andrea,hikari-no-yume,https://hikari.noyu.me/,FALSE,Lund/ Sverige,Undefined
Nikita Popov,nikic,http://nikic.github.com/,FALSE,Berlin/ Germany,germany
Nikita Popov,nikic,http://nikic.github.com/,FALSE,Berlin/ Germany,germany
Matt Bonneau,mbonneau,voryx.net,FALSE,,blank field
Nikita Popov,nikic,http://nikic.github.com/,FALSE,Berlin/ Germany,germany
David CARLIER,devnexen,https://devnexen.blogspot.com,FALSE,,blank field
Nikita Popov,nikic,http://nikic.github.com/,FALSE,Berlin/ Germany,germany
Pedro Magalhães,pmmaga,,FALSE,Sintra/ Portugal,Undefined
Andrew Nester,andrewnester,http://linkedin.com/in/andrewnesterdev/,FALSE,Netherlands/ Amsterdam,netherlands
Nikita Popov,nikic,http://nikic.github.com/,FALSE,Berlin/ Germany,germany
Adam,adsr,,FALSE,New York/ NY,united states
,x-xiang,,FALSE,Beijing,china
Andrey Andreev,narfbg,,FALSE,Bulgaria,bulgaria
Niklas Keller,kelunik,https://blog.kelunik.com,FALSE,Germany,germany
Dreamszhu（朱宗鑫）,dreamsxin,http://www.myleftstudio.com,FALSE,zhejiang/china,china
Micha,KoenigsKind,http://str4u.ch,FALSE,Germany,germany
Rowan Collins,IMSoP,http://rwec.co.uk,FALSE,,blank field
Andrew Nester,andrewnester,http://linkedin.com/in/andrewnesterdev/,FALSE,Netherlands/ Amsterdam,netherlands
Mitch Hagstrand,mhagstrand,,FALSE,Austin TX,Undefined
,weicuixia,,FALSE,,blank field
Ross Williams,overhacked,,FALSE,,blank field
Tom Van Looy,tvlooy,twitter.com/tvlooy,FALSE,Belgium/ Beerse,belgium
Tom Van Looy,tvlooy,twitter.com/tvlooy,FALSE,Belgium/ Beerse,belgium
Sara Golemon,sgolemon,http://twitter.com/SaraMG,FALSE,NYC,united states
Sara Golemon,sgolemon,http://twitter.com/SaraMG,FALSE,NYC,united states
Remi Collet,remicollet,https://blog.remirepo.net/,FALSE,France/ Champagne,france
Coenraad Loubser,dagelf,,FALSE,Stellenbosch,Undefined
Dominic,dol,snowgarden.ch,FALSE,Switzerland,switzerland
,Grundik,,FALSE,,blank field
Anatol Belski,weltling,http://belski.net,FALSE,,blank field
Andrew Nester,andrewnester,http://linkedin.com/in/andrewnesterdev/,FALSE,Netherlands/ Amsterdam,netherlands
Pedro Magalhães,pmmaga,,FALSE,Sintra/ Portugal,Undefined
Mitch Hagstrand,mhagstrand,,FALSE,Austin TX,Undefined
Ondřej Surý,oerdnj,,FALSE,Czech Republic,Undefined
Benjamin Robin,benjarobin,,FALSE,,blank field
Andrew Nester,andrewnester,http://linkedin.com/in/andrewnesterdev/,FALSE,Netherlands/ Amsterdam,netherlands
Pedro Magalhães,pmmaga,,FALSE,Sintra/ Portugal,Undefined
,Zenju,,FALSE,,blank field
Adam,adsr,,FALSE,New York/ NY,united states
Dreamszhu（朱宗鑫）,dreamsxin,http://www.myleftstudio.com,FALSE,zhejiang/china,china
,dyeldandi,,FALSE,,blank field
Andrew Nester,andrewnester,http://linkedin.com/in/andrewnesterdev/,FALSE,Netherlands/ Amsterdam,netherlands
,dyeldandi,,FALSE,,blank field
,dyeldandi,,FALSE,,blank field
,dyeldandi,,FALSE,,blank field
Scott,paragonie-scott,https://paragonie.com,FALSE,Orlando/ FL,united states
Dreamszhu（朱宗鑫）,dreamsxin,http://www.myleftstudio.com,FALSE,zhejiang/china,china
Jim,commercebyte,http://commercebyte.com,TRUE,NYC area,Undefined
David Walker,bp1222,,FALSE,Denver/ CO,united states
Rodrigo Prado,royopa,http://about.me/royopa,FALSE,São Paulo - Brazil,Undefined
Rodrigo Prado,royopa,http://about.me/royopa,FALSE,São Paulo - Brazil,Undefined
Niklas Keller,kelunik,https://blog.kelunik.com,FALSE,Germany,germany
Mitch Hagstrand,mhagstrand,,FALSE,Austin TX,Undefined
Eric Poe,ericpoe,,FALSE,Kansas City,united states
Andreas Treichel,blar,http://www.blar.de/,FALSE,Germany,germany
